Start,End
5396.582,5397.075
5397.955,5398.302
5399.266,5399.579
5403.291,5403.752
5404.727,5404.979
5405.926,5406.272
5406.559,5406.722
5407.751,5407.997
5408.729,5409.159
5409.538,5409.74
5411.022,5411.173
5412.819,5413.65
5414.367,5414.97
5417.122,5417.317
5419.432,5419.901
5421.454,5421.668
5422.474,5422.888
5424.838,5425.363
5425.979,5426.095
5428.631,5428.871
5430.112,5430.452
5431.311,5431.401
5431.784,5432.613
5434.57,5434.714
5435.067,5435.288
5436.418,5436.614
5438.395,5438.902
5444.381,5445.776
5446.853,5447.789
5449.684,5450.143
5451.197,5452.771
5454.037,5454.211
5454.8,5454.963
5455.252,5455.644
5457.79,5458.019
5458.527,5458.958
5461.701,5461.976
5463.457,5463.729
5464.914,5465.627
5468.73,5469.079
5470.652,5471.058
5471.879,5472.436
5473.051,5473.981
5474.988,5475.303
5477.136,5477.736
5478.665,5479.145
5479.282,5479.396
5480.419,5480.905
5483.451,5483.684
5483.984,5484.328
5485.321,5485.717
5486.964,5487.54
5489.9,5490.806
5492.329,5492.487
5493.556,5494.066
5494.762,5494.907
5495.619,5495.907
5496.122,5496.358
5497.022,5497.348
5498.24,5498.835
5499.808,5500.077
5500.455,5500.882
5503.162,5503.532
5504.335,5504.538
5504.894,5505.105
5506.344,5506.55
5506.987,5507.334
5507.475,5507.987
5508.88,5509.415
5509.821,5510.34
5510.934,5511.475
5511.965,5512.304
5513.179,5513.379
5513.901,5514.001
5514.175,5514.41
5516.348,5517.902
5520.817,5521.021
5521.201,5521.536
5523.582,5523.818
5524.608,5525.266
5526.213,5526.586
5527.179,5527.492
5531.883,5532.582
5533.725,5534.027
5534.361,5534.539
5536.999,5537.295
5537.535,5538.047
5539.509,5540.391
